"ensembl_gene_id","external_gene_name","bucket","great_apes","chimp_human","age"
"ENSG00000103343","ZNF174",1,"no","no","old"
"ENSG00000140987","ZSCAN32",1,"no","no","old"
"ENSG00000156853","ZNF689",1,"no","no","old"
"ENSG00000157429","ZNF19",1,"no","no","old"
"ENSG00000186496","ZNF396",1,"no","no","old"
"ENSG00000170100","ZNF778",2,"no","no","young"
"ENSG00000154957","ZNF18",1,"no","no","old"
"ENSG00000167981","ZNF597",1,"no","no","old"
"ENSG00000197566","ZNF624",1,"no","no","old"
"ENSG00000197302","ZNF720",2,"no","no","young"
"ENSG00000185947","ZNF267",2,"no","no","young"
"ENSG00000167377","ZNF23",1,"no","no","old"
"ENSG00000141040","ZNF287",1,"no","no","old"
"ENSG00000181666","ZNF875",1,"no","no","old"
"ENSG00000155592","ZKSCAN2",1,"no","no","old"
"ENSG00000184517","ZFP1",3,"no","no","old"
"ENSG00000198300","PEG3",1,"no","no","old"
"ENSG00000197162","ZNF785",1,"no","no","old"
"ENSG00000010539","ZNF200",1,"no","no","old"
"ENSG00000184939","ZFP90",1,"no","no","old"
